participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P001,0,28.63,40.66,34.57,38.92,44.45,40.91,39.26,54.78,47.43,39.23,24.54,52.54,26.08,51.08,31.66,41.05,36.03,43.07,48.5,40.95
P002,1,56.19,50.85,47.21,57.13,43.77,59.48,47.82,45.26,49.83,49.85,55.49,41.59,54.09,42.28,37.81,49.44,67.14,54.41,48.89,53.83
P003,1,45.12,57.62,55.49,50.24,49.91,50.58,43.58,43.21,49.44,33.9,39.03,55.17,43.19,49.12,47.74,51.32,38.64,56.5,40.25,46.16
P004,0,47.28,54.84,47.26,37.3,44.93,50.45,59.25,45.23,46.19,50.07,46.9,53.84,47.87,55.6,45.43,50.66,51.54,47.5,38.5,49.26
P005,0,49.95,62.96,54.32,51.15,47.24,48.54,50.83,39.82,48.43,45.61,45.98,43.92,57.29,39.75,49.95,57.8,43.73,44.71,44.5,55.56
P006,0,65.45,56.57,49.58,50.15,51.6,50.4,43.66,54.78,46.28,54.23,56.96,41.17,53.34,55.48,50.17,37.56,52.08,44.93,63.31,48.24
P007,0,49.48,53.76,64.79,41.84,40.91,58.09,43.29,54.42,56.75,51.63,42.32,51.3,55.16,41.76,51.19,44.62,39.3,43.11,63.92,59.93
P008,0,44.58,36.01,49.38,46.52,46.29,31.98,50.5,47.59,55.5,57.73,52.64,56.76,40.51,54.8,41.49,37.52,52.68,49.11,38.25,54.58
P009,0,30.09,39.55,49.18,53.8,35.03,41.89,41.47,52.53,27.71,44.01,52.29,51.93,43.93,41.52,48.11,59.63,32.83,33.53,49.4,52.2
P010,0,44.07,49.71,53.33,61.98,46.86,39.66,56.63,49.76,47.69,52.63,50.57,56.74,47.94,46.79,43.99,40.75,37.37,50.95,50.51,40.55
P011,0,35.71,28.05,58.12,59.51,39.8,48.55,45.48,43.11,39.33,39.93,44.2,49.62,46.67,37.17,40.22,34.52,38.45,36.19,51.16,44.46
P012,0,50.01,57.47,67.76,52.01,48.31,74.2,65.66,46.36,42.5,68.84,60.52,45.52,52.58,55.34,51.5,82.13,51.03,44.46,49.81,64.82
P013,0,69.17,48.04,61.49,65.84,56.31,45.59,70.29,68.74,55.75,54.89,60.95,62.87,58.04,59.15,51.46,48.05,62.12,47.35,60.49,62.3
P014,0,38.01,46.25,30.27,40.77,32.95,35.14,48.04,39.2,47.29,38.97,26.76,42.52,49.86,28.26,40.13,34.28,34.26,40.76,39.45,36.12
P015,1,55.7,54.2,50.99,65.84,61.03,58.18,54.13,59.86,45.47,57.77,52.96,59.9,54.01,54.49,60.74,53.4,47.74,72.08,44.64,53.44
P016,1,56.42,47.42,40.6,50.31,49.92,49.35,31.82,43.76,35.43,55.79,44.53,41.99,48.28,49.47,40.48,52.11,51.7,38.07,40.07,63.75
P017,1,36.77,63.63,50.9,67.33,70.84,53.39,67.51,55.96,63.85,48.92,59.15,52.28,50.2,53.89,52.03,66.62,64.13,63.73,58.63,48.27
P018,0,38.33,47.53,46.22,43.36,47.25,50.9,46.38,44.81,63.09,48.47,48.8,38.76,45.01,57.39,23.49,36.52,38.93,52.52,27.06,34.52
P019,0,43.41,61.94,47.89,52.8,58.49,73.09,72.7,63.8,66.91,61.6,54.99,66.09,53.7,49.46,54.83,58.08,39.89,56.72,52.11,53.53
P020,1,61.28,42.23,50.72,60.61,65.77,62.3,43.16,43.02,50.35,47.95,59.25,43.35,56.95,47.47,65.81,57.04,55.35,53.28,60.72,47.59
P021,0,45.87,40.39,47.84,35.16,46.58,41.86,34.74,59.41,29.83,40.09,42.61,36.88,37.88,42.34,52.56,38.8,48.21,52.24,43.9,35.09
P022,1,51.19,45.13,54.13,57.96,58.87,52.52,55.24,67.39,53.16,43.85,35.18,52.0,39.04,41.9,45.21,57.44,47.7,54.15,49.63,53.43
P023,0,62.33,59.17,73.38,61.51,63.72,69.98,47.82,77.86,57.79,58.81,65.27,61.1,56.74,48.05,54.97,57.02,64.49,61.71,56.24,67.49
P024,1,53.5,26.49,36.45,34.31,54.29,31.54,37.26,45.39,29.15,51.37,49.05,35.53,49.79,47.72,51.45,38.09,32.02,55.83,35.7,40.52
P025,1,52.42,41.8,61.6,36.27,39.21,38.27,36.9,56.61,30.88,30.23,24.6,47.12,36.01,32.01,45.96,49.22,29.18,29.55,38.69,41.16
P026,1,50.48,52.26,54.18,50.39,46.88,68.38,54.49,50.74,36.73,50.15,23.18,58.45,61.25,65.25,56.08,64.5,58.39,52.66,54.78,44.0
P027,1,46.69,56.03,61.89,66.24,60.29,50.75,51.35,55.6,67.57,51.11,52.1,55.84,46.98,58.28,58.61,50.53,63.0,40.27,48.79,59.89
P028,0,57.5,58.96,53.02,70.37,65.86,52.64,62.0,53.12,52.13,51.31,58.85,78.71,25.22,56.12,66.58,59.52,52.13,49.28,57.71,50.11
P029,0,51.22,50.16,58.31,30.35,49.13,33.76,33.98,53.57,48.43,52.46,58.47,26.23,66.36,65.28,51.96,48.32,57.05,43.06,32.12,45.0
P030,1,49.91,53.71,59.24,56.55,66.39,52.4,50.07,43.59,47.2,40.25,56.44,53.39,43.39,52.34,59.15,42.17,42.57,70.92,56.67,57.44
P031,0,36.32,32.2,38.01,37.46,43.8,43.42,33.08,58.97,55.3,50.44,46.53,59.32,41.51,37.54,46.14,55.42,47.4,39.84,55.29,44.21
P032,0,47.33,36.6,58.78,48.95,44.85,65.21,61.45,69.58,66.56,50.34,47.66,41.76,51.07,44.57,48.94,69.42,62.08,62.78,58.98,56.07
P033,1,58.46,46.39,23.11,46.06,48.63,32.02,38.43,46.31,44.95,50.0,53.28,53.46,42.75,51.98,47.75,44.02,47.85,62.01,50.84,41.68
P034,1,72.96,60.31,62.34,51.85,58.48,46.72,67.23,51.87,80.67,50.95,42.11,51.8,50.17,65.29,47.13,59.33,42.03,57.82,51.56,46.74
P035,1,32.54,25.75,28.55,56.69,51.09,45.24,40.95,45.41,44.24,28.05,46.92,46.41,27.2,39.59,45.47,45.3,32.8,38.09,40.04,48.27
P036,1,54.52,47.56,43.1,55.96,51.26,42.7,34.2,47.88,33.97,56.69,61.89,41.92,47.43,30.24,52.49,48.19,44.88,43.26,48.39,52.07
P037,1,46.17,46.33,33.83,48.37,61.45,39.79,59.96,54.97,47.56,59.12,42.88,40.54,46.16,53.44,49.24,52.69,50.61,56.88,41.86,54.09
P038,1,60.6,47.59,47.87,41.85,63.4,43.92,41.0,50.16,41.64,50.45,47.98,51.84,53.92,61.08,43.3,43.72,46.2,46.22,40.79,48.13
P039,1,43.44,47.05,42.7,51.69,51.73,44.19,35.5,45.89,40.28,54.53,50.95,60.21,41.41,43.07,52.96,46.24,43.87,37.08,30.44,52.87
P040,1,43.1,46.56,42.06,62.14,72.04,55.04,71.0,59.18,46.33,54.98,62.31,42.65,49.79,61.48,57.93,37.12,47.01,58.45,60.3,43.56
P041,1,46.81,39.33,35.67,34.05,42.12,69.44,52.07,46.49,39.32,59.62,30.47,52.69,49.06,38.4,42.27,52.21,42.14,50.74,64.96,47.53
P042,0,45.32,67.64,65.51,44.8,55.78,71.91,55.06,74.36,54.16,67.2,51.94,61.62,43.73,54.47,56.26,58.93,50.22,72.2,54.03,66.68
P043,0,36.36,52.35,36.41,40.15,34.96,38.0,19.99,36.87,38.99,35.3,35.51,18.76,37.73,20.5,27.09,40.99,23.39,45.01,28.48,29.18
P044,1,57.86,49.98,54.06,49.43,44.61,46.22,55.85,46.41,48.08,47.18,59.36,47.55,58.69,56.86,54.6,60.68,36.46,47.17,47.86,39.57
P045,1,41.5,52.69,50.53,47.22,56.6,60.56,51.41,45.3,51.58,60.38,57.5,57.42,60.56,61.08,59.29,64.06,51.32,44.64,56.23,52.33
P046,0,48.11,53.05,58.81,41.86,48.0,60.71,58.16,50.75,51.54,46.74,32.62,59.22,54.84,58.13,57.74,60.1,55.64,44.0,63.1,52.86
P047,1,47.51,63.41,45.18,54.12,46.52,51.62,62.59,37.29,48.54,54.76,30.85,59.28,53.92,41.28,63.52,48.01,44.0,51.07,48.23,40.86
P048,0,59.6,53.71,61.94,75.07,41.21,71.97,44.81,56.07,65.12,59.14,53.58,52.26,57.06,62.61,67.04,56.93,55.61,54.13,48.11,66.42
P049,1,43.96,62.41,43.19,53.97,48.35,46.91,48.73,44.53,62.49,63.01,41.52,55.1,48.64,41.16,46.17,43.81,41.74,47.52,51.28,45.75
P050,1,44.12,48.23,45.08,30.07,53.84,41.9,47.87,40.77,64.25,62.08,54.78,45.32,59.53,55.23,52.72,46.78,57.05,61.71,54.71,45.5
P051,1,59.26,48.31,46.95,54.65,40.59,40.92,34.58,48.55,58.39,55.54,51.18,45.18,51.63,59.51,58.39,43.14,44.54,51.96,51.74,57.85
P052,1,56.98,42.18,57.81,54.62,60.02,67.4,56.56,43.73,46.25,66.03,43.03,58.41,42.57,34.38,64.09,48.68,57.29,42.2,65.78,42.92
P053,0,62.66,63.07,60.18,39.16,72.98,52.89,75.98,63.21,52.53,51.06,69.93,47.5,50.92,55.87,47.25,54.06,69.85,42.55,55.08,53.36
P054,1,38.09,48.08,52.63,32.31,37.36,39.74,40.91,46.19,42.06,34.75,50.84,38.9,51.75,44.54,31.13,50.34,41.4,32.29,56.09,29.11
P055,1,45.74,52.11,36.09,55.19,42.5,42.9,38.33,46.62,57.29,52.05,37.49,53.07,42.63,61.96,53.09,59.73,55.86,45.84,48.25,40.93
P056,1,47.46,50.74,51.35,56.69,62.92,49.81,51.97,27.43,36.35,47.19,48.69,56.83,44.73,51.8,39.6,43.64,43.33,44.16,39.32,39.95
P057,1,51.4,30.93,29.79,43.42,39.59,42.16,40.94,54.16,45.02,48.89,50.37,60.82,28.1,44.32,43.83,39.02,42.56,32.46,41.61,40.88
P058,0,48.03,52.24,35.78,52.65,46.36,39.16,49.11,33.89,61.82,62.08,50.25,40.73,45.54,28.42,43.01,52.0,44.33,58.2,42.22,59.62
P059,1,48.98,34.83,51.06,48.05,39.57,40.02,34.78,62.29,39.99,47.07,41.3,38.3,44.89,43.86,48.94,39.25,42.1,50.42,36.97,52.11
P060,0,53.54,54.04,49.38,51.11,36.89,35.52,39.31,41.88,53.15,53.91,51.31,42.91,46.8,52.64,59.4,50.75,48.01,40.44,48.59,49.84
P061,0,58.46,43.6,52.03,44.2,48.26,54.38,50.88,40.38,54.62,67.57,40.84,49.83,52.78,47.92,49.77,52.68,42.74,52.47,67.73,42.93
P062,1,36.19,30.04,42.07,29.91,45.97,32.34,44.07,28.17,47.91,31.03,30.35,44.52,39.15,45.43,49.82,35.31,55.23,37.2,30.48,46.56
