task,n_treatment,n_control,mean_treatment,mean_control,sd_treatment,sd_control,difference,se,df,t_stat,ci_low,ci_high,p_raw,p_bonferroni,p_holm
task_01,100,100,50.6917,48.598099999999995,9.008720809091688,10.68043719974879,2.093600000000002,1.3972429616710882,192.52751508893445,1.4983793494984423,-0.6622692237840244,4.849469223784029,0.13567252852645517,1.0,1.0
task_02,100,100,50.765899999999995,49.42099999999999,10.549824556442498,9.694564081343353,1.3449000000000026,1.4327713386964087,196.60142661275543,0.9386703681716897,-1.480673721238285,4.17047372123829,0.34905176965172513,1.0,1.0
task_03,100,100,49.25319999999998,49.548500000000004,9.522672560099329,10.589385420592574,-0.2953000000000259,1.4241361461346569,195.80903831142484,-0.20735377077642425,-3.103914614875866,2.513314614875814,0.8359490687798465,1.0,1.0
task_04,100,100,51.7283,49.00160000000001,9.626681257333859,10.370773202036617,2.726699999999987,1.4150121159848201,196.91248499504934,1.9269799666006804,-0.06382339159763539,5.517223391597609,0.055421452633961886,1.0,1.0
task_05,100,100,51.53719999999999,48.3029,10.0027509428278,10.844142141164408,3.2342999999999904,1.4752980892078056,196.72234622317347,2.1923027106587796,0.32487019027230035,6.143729809727681,0.02953097256661447,0.5906194513322894,0.5906194513322894
task_06,100,100,50.142199999999995,48.894400000000005,9.909962906493686,10.465208383259768,1.247799999999991,1.441277042463146,197.41445312880717,0.8657599914777645,-1.5944753576508566,4.090075357650838,0.38767270859116393,1.0,1.0
task_07,100,100,50.24159999999999,49.66369999999999,9.598019021199798,11.132605188945188,0.5778999999999996,1.4698872998439114,193.79833703312212,0.39315939396263055,-2.3211299326798844,3.4769299326798837,0.6946339099056346,1.0,1.0
task_08,100,100,50.278400000000005,49.752599999999994,9.070758737878991,10.843960998704032,0.5258000000000109,1.4137544136879723,192.0064400876949,0.37191749494057424,-2.2626836519414106,3.3142836519414325,0.7103644094162722,1.0,1.0
task_09,100,100,50.3791,48.813900000000004,10.8325788170815,10.523010466726157,1.5651999999999973,1.5102268475666532,197.83378586980265,1.0364005927466589,-1.413009125220543,4.5434091252205375,0.3012804287109201,1.0,1.0
task_10,100,100,51.09360000000001,50.052699999999994,9.569122324466653,9.909178976580197,1.0409000000000148,1.3775337747238905,197.75904716177084,0.7556257560426424,-1.6756410328606886,3.757441032860718,0.45077267433078794,1.0,1.0
task_11,100,100,48.45260000000001,48.63400000000001,10.598408363447025,9.576190275992861,-0.18139999999999645,1.4283895828533757,195.9975536776814,-0.1269961655962435,-2.998386195359164,2.635586195359171,0.8990736254179171,1.0,1.0
task_12,100,100,50.9422,49.38099999999999,8.485050261453607,11.570558990538675,1.5612000000000066,1.4348306983506076,181.5932576490271,1.0880726219439445,-1.2698840472978032,4.392284047297816,0.2780050380169708,1.0,1.0
task_13,100,100,49.76800000000001,48.49749999999999,9.275070203115838,10.520157887108775,1.2705000000000197,1.4025000864257522,194.93938362981396,0.9058822971183321,-1.4955217230175641,4.036521723017604,0.36611645264700704,1.0,1.0
task_14,100,100,51.3802,49.64650000000002,9.297360435667054,10.77479188437137,1.7336999999999847,1.4231551258461679,193.84427706877952,1.2182087310890832,-1.0731568015232908,4.540556801523261,0.22462530194445496,1.0,1.0
task_15,100,100,49.921499999999995,48.8034,8.77322469019496,9.945017860337117,1.1180999999999912,1.3261706214023545,194.96752840920834,0.8431041842999509,-1.4973817922415837,3.733581792241566,0.4002033227378406,1.0,1.0
task_16,100,100,49.95159999999998,48.99600000000001,8.10898525455472,9.708386981253772,0.9555999999999685,1.2649443451644962,191.91275752247057,0.7554482564019053,-1.539378981725032,3.450578981724969,0.45090624149042347,1.0,1.0
task_17,100,100,50.148399999999995,48.6083,9.353204789716937,9.636607502203,1.5400999999999954,1.3429320310049166,197.82383815806088,1.1468190231843214,-1.1081999381742964,4.188399938174287,0.25284160212273654,1.0,1.0
task_18,100,100,49.3107,49.1167,9.941087908170806,9.480241979501313,0.1939999999999955,1.3736819747957631,197.55555922363547,0.14122628349173696,-2.5149623381151827,2.9029623381151737,0.8878350865351264,1.0,1.0
task_19,100,100,50.143100000000004,48.906100000000016,9.41621443751858,9.45260841506115,1.2369999999999877,1.3342297410184583,197.9970536460453,0.927126687384249,-1.3941246094949102,3.8681246094948856,0.35498951579821175,1.0,1.0
task_20,100,100,50.5825,48.791199999999996,8.971530659465941,10.847710206641434,1.7913000000000068,1.407697336436388,191.26524604422414,1.2725036509159817,-0.9853049384675487,4.567904938467562,0.20473898049300554,1.0,1.0
