participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P001,0,40.25,33.49,44.53,40.9,51.12,44.23,40.4,39.17,48.71,41.87,37.38,17.39,37.47,39.44,34.39,49.21,51.06,43.28,39.15,41.5
P002,0,36.24,44.13,54.6,51.42,38.58,40.02,54.32,49.87,53.49,66.88,55.36,49.52,27.71,50.91,54.29,55.5,24.62,45.92,46.53,49.3
P003,1,47.71,76.35,62.45,57.48,62.56,54.38,64.63,59.82,61.67,60.71,65.45,63.7,67.6,57.4,53.24,55.4,53.45,64.77,82.61,57.73
P004,0,54.96,40.38,59.45,48.75,62.33,42.79,44.76,43.04,38.62,43.59,53.26,41.5,47.66,56.43,40.56,62.4,52.44,54.0,45.91,47.11
P005,1,67.18,64.75,54.09,47.65,71.68,54.74,48.6,55.44,62.3,52.9,60.94,60.64,56.65,58.8,58.29,62.69,58.46,49.86,53.3,67.11
P006,0,50.16,60.07,54.44,47.64,50.36,36.43,57.83,46.12,49.21,52.44,53.09,53.17,53.59,53.09,38.92,44.1,34.63,59.83,54.45,38.87
P007,1,46.99,42.32,30.59,52.17,64.81,57.02,36.85,35.93,58.12,50.85,43.82,58.5,57.83,58.35,28.73,40.41,43.21,38.05,19.71,48.44
P008,1,63.91,43.07,54.58,67.94,39.4,61.07,57.34,64.58,38.37,63.65,55.81,44.7,41.48,54.25,49.4,47.84,60.47,67.42,43.09,43.98
P009,1,46.3,59.96,59.57,54.59,51.84,47.21,52.63,58.86,60.32,58.24,52.01,42.17,55.88,47.92,52.64,58.85,58.03,56.87,54.27,66.56
P010,1,41.19,38.03,32.65,47.65,44.74,51.3,24.37,65.89,19.07,39.29,42.97,54.52,32.48,41.94,62.01,46.76,34.02,51.96,45.42,49.28
P011,1,54.17,51.11,46.9,54.63,52.28,42.73,54.86,41.17,46.98,44.28,53.7,32.48,65.19,53.87,56.78,57.35,37.18,62.33,50.94,50.46
P012,1,44.12,54.92,49.08,39.23,31.78,35.3,58.82,42.38,37.54,48.64,37.47,36.67,43.11,36.47,48.37,40.38,51.38,33.59,43.79,38.0
P013,1,66.61,46.34,49.46,50.42,50.64,64.6,63.3,67.75,62.85,63.78,67.59,47.92,65.03,58.61,40.4,51.69,42.08,61.2,62.26,60.92
P014,0,54.88,52.32,44.51,62.61,63.95,53.65,41.86,51.25,46.87,62.33,61.96,60.82,46.89,54.57,54.86,52.95,58.24,46.17,54.12,62.68
P015,0,40.92,60.69,43.23,47.9,44.76,61.98,58.93,46.89,59.8,54.28,25.86,58.49,41.71,56.45,49.93,56.64,61.82,51.11,55.42,52.11
P016,1,40.42,48.14,47.2,29.95,38.84,43.28,35.02,42.79,53.85,36.96,38.59,32.97,50.92,39.17,30.95,27.35,46.02,44.35,55.53,48.57
P017,1,56.58,89.57,61.13,53.28,54.35,48.09,56.44,56.8,70.92,60.76,55.34,59.31,60.68,57.74,59.68,71.55,56.59,61.81,39.37,61.97
P018,1,60.33,71.72,62.26,56.27,55.22,70.09,36.65,68.62,52.73,55.43,69.56,61.97,56.28,63.66,80.73,54.85,78.15,49.11,50.08,75.13
P019,0,48.48,50.48,60.04,57.36,48.05,54.14,63.31,52.89,46.47,44.46,50.33,55.26,56.14,43.05,51.47,47.67,50.58,55.67,54.95,30.41
P020,1,78.68,64.48,53.03,71.71,48.47,63.19,68.26,54.53,67.13,56.66,66.62,57.67,53.27,74.84,61.27,64.13,48.94,53.22,45.96,69.72
P021,1,64.91,73.22,56.29,70.31,58.02,66.06,62.42,69.21,74.33,79.01,58.96,72.74,63.43,53.2,59.66,78.32,62.09,61.77,58.5,67.5
P022,1,42.98,53.04,51.06,28.1,47.82,55.39,51.76,34.25,59.52,34.74,35.8,53.24,46.29,26.47,41.85,51.1,61.35,48.84,49.94,35.93
P023,0,39.86,30.43,37.88,40.58,28.15,32.51,31.75,42.86,19.05,38.86,20.83,50.32,31.25,25.02,30.39,31.54,52.1,34.7,30.98,38.32
P024,0,38.49,39.38,40.57,31.93,35.67,49.92,43.09,46.98,40.85,57.47,49.01,63.49,54.97,25.11,51.39,42.55,48.34,27.96,48.18,53.3
P025,1,48.74,46.17,48.17,45.16,51.85,56.1,40.86,50.0,44.66,40.05,30.27,14.63,45.07,40.78,38.25,40.9,41.05,37.03,39.48,39.15
