participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P001,0,41.77,55.46,71.26,55.3,62.13,57.99,70.03,45.9,31.59,46.4,41.09,39.62,44.26,45.88,64.2,35.9,46.97,52.92,38.36,54.41
P002,1,53.67,52.63,51.33,55.08,63.52,47.16,53.45,48.59,36.72,50.45,50.17,48.45,39.33,48.19,47.34,55.27,40.2,58.7,66.27,44.96
P003,1,57.94,55.07,61.02,53.2,55.24,52.4,40.5,60.44,54.05,44.38,58.5,43.81,53.34,50.64,55.52,36.42,56.37,37.8,44.25,46.29
P004,1,38.01,49.54,49.87,47.88,62.36,48.39,26.7,46.28,35.77,57.69,53.38,32.99,41.92,29.81,51.9,40.28,48.27,52.34,45.79,44.39
P005,0,55.25,59.52,65.01,64.82,50.41,36.9,46.59,46.93,65.52,60.73,46.36,54.71,55.86,45.01,64.94,59.38,49.27,52.03,50.25,55.63
P006,1,66.08,64.35,59.43,38.01,37.24,56.03,51.31,51.57,36.82,36.74,48.55,31.13,49.18,44.33,49.31,46.79,60.06,52.6,38.65,54.32
P007,1,50.71,58.9,54.23,79.63,59.06,57.83,73.98,59.26,57.31,79.08,66.09,55.85,70.6,54.53,70.82,51.28,54.31,61.46,72.11,62.69
P008,0,59.45,64.4,33.06,58.68,50.31,45.03,49.48,46.17,41.5,52.23,44.03,71.01,63.49,57.99,52.13,54.85,57.89,60.37,61.05,47.56
P009,0,60.24,49.6,16.24,45.03,43.74,36.59,44.32,43.34,50.23,56.38,45.11,46.31,28.55,48.2,43.69,55.68,64.52,48.79,50.84,36.7
P010,1,42.46,65.14,46.38,44.26,56.17,48.0,44.18,51.73,46.62,58.61,43.66,53.24,68.66,44.82,33.56,57.94,58.57,46.72,53.2,52.31
P011,0,38.86,53.6,33.36,50.57,48.53,34.82,49.76,43.86,51.17,43.58,47.98,23.98,57.41,57.12,47.22,53.35,42.25,58.3,56.87,46.67
P012,1,51.18,45.62,33.74,54.75,48.77,55.71,48.37,47.69,47.06,53.22,34.13,33.56,44.67,49.82,47.91,50.08,57.25,36.97,46.69,45.06
P013,0,50.65,66.28,46.87,45.82,52.62,45.23,63.83,28.17,59.56,57.42,55.41,57.7,48.38,50.62,50.88,55.01,50.71,57.52,42.23,57.61
P014,0,44.3,29.27,32.91,53.2,45.22,46.3,44.8,44.7,56.36,39.9,33.69,49.74,41.72,51.97,42.57,50.53,43.77,45.82,40.08,45.29
P015,1,63.21,42.88,42.47,39.64,49.1,52.1,41.15,57.12,56.27,41.89,70.62,48.54,39.64,50.94,55.47,54.04,52.52,40.17,45.59,36.67
P016,1,65.38,64.49,69.48,75.67,69.92,65.5,60.54,67.43,55.85,82.61,65.16,58.88,65.59,76.17,62.49,72.94,77.59,63.66,61.41,83.09
P017,1,33.9,39.52,37.68,38.33,38.68,48.28,33.92,32.96,31.49,59.52,43.53,50.35,32.95,18.66,43.23,46.2,36.0,56.89,66.85,45.55
P018,1,48.29,46.51,55.43,60.65,43.23,56.18,40.69,55.6,54.35,37.39,46.22,56.39,55.89,64.76,47.4,37.61,51.47,55.19,50.06,40.58
P019,0,31.04,71.28,59.2,57.66,49.75,40.01,54.0,67.45,65.32,49.78,51.66,41.08,47.31,55.41,51.41,53.54,67.98,56.99,59.73,54.98
P020,0,39.21,47.45,39.71,38.47,41.75,43.46,43.22,43.68,43.02,41.65,43.08,38.1,39.65,36.3,55.58,48.23,49.33,46.65,46.66,39.18
P021,0,71.05,43.05,39.96,40.97,39.55,47.12,36.94,37.19,65.66,46.78,30.87,28.95,47.99,48.13,40.48,28.07,53.93,58.27,50.74,41.43
P022,1,59.25,72.76,47.47,59.1,60.68,59.8,60.49,46.91,64.34,59.55,79.08,47.98,51.44,63.25,64.29,47.7,53.72,58.35,66.69,49.28
P023,0,23.96,60.09,40.79,50.69,53.55,45.44,42.96,34.45,40.4,23.71,46.14,47.82,37.7,51.17,42.42,50.64,55.64,43.24,34.64,43.13
P024,1,47.25,50.61,57.38,42.78,37.85,36.65,56.23,68.41,48.71,42.32,32.33,42.79,60.24,43.84,57.86,34.43,41.14,64.35,41.13,37.79
P025,1,40.1,26.09,47.77,26.7,66.46,44.21,40.04,49.28,32.15,41.09,43.62,46.21,47.28,44.75,34.81,42.54,44.17,37.11,43.76,53.59
P026,0,45.52,55.83,40.81,48.13,48.18,58.9,42.63,53.23,67.1,48.92,62.96,45.74,55.23,57.83,53.55,55.7,52.8,56.43,62.32,49.25
P027,0,49.91,37.7,44.62,29.51,53.48,40.07,28.43,43.09,36.54,44.46,27.97,37.79,38.73,47.5,54.69,29.11,37.28,38.04,25.06,51.38
P028,0,54.82,35.13,54.52,65.22,54.32,64.82,54.81,52.53,55.24,50.16,61.65,52.38,68.53,40.93,52.43,56.1,68.19,56.37,45.74,53.72
P029,1,58.09,65.86,51.68,50.17,51.09,53.22,49.65,53.87,46.64,56.2,45.23,44.27,48.91,50.9,63.78,39.07,49.99,64.73,44.57,50.51
P030,1,36.25,50.16,22.58,34.3,48.13,38.58,42.56,36.44,39.92,37.83,46.15,40.22,45.5,45.39,28.08,38.61,26.03,49.55,60.61,45.92
P031,1,57.45,62.47,74.64,63.98,58.93,61.15,64.7,49.79,53.15,46.94,61.37,67.0,66.22,63.5,55.54,65.37,69.75,67.84,59.49,59.28
P032,0,66.81,55.46,38.04,70.99,44.0,60.63,72.07,79.33,66.79,60.22,54.4,63.45,57.46,45.13,53.69,73.51,68.18,61.69,81.23,50.42
P033,0,58.32,48.45,59.26,63.85,52.59,40.96,47.29,65.75,47.56,51.15,52.86,48.42,45.35,54.84,43.11,57.14,45.09,51.63,52.44,33.32
P034,0,45.47,51.55,44.04,59.35,48.15,46.8,42.41,53.79,44.16,39.45,30.92,59.65,54.1,47.78,44.02,46.67,60.89,48.97,61.77,48.72
P035,1,47.83,41.34,41.09,65.32,51.98,46.49,55.13,41.4,58.01,49.05,43.11,48.45,46.87,33.7,36.27,48.64,55.27,54.31,55.73,55.92
P036,0,52.09,56.69,53.92,58.25,49.62,36.23,44.41,49.76,57.2,58.47,42.25,48.48,54.6,46.07,49.66,55.78,61.47,76.46,49.02,64.63
P037,0,43.88,52.01,61.19,45.21,32.79,45.36,69.09,53.18,57.81,64.96,55.42,65.35,34.19,63.34,53.89,42.26,47.91,49.14,62.58,43.07
