task,n_treatment,n_control,mean_treatment,mean_control,sd_treatment,sd_control,difference,se,df,t_stat,ci_low,ci_high,p_raw,p_bonferroni,p_holm
task_01,100,100,51.7478,49.31620000000001,10.020604790312627,9.186672689886752,2.431599999999989,1.3594391324172903,196.5237194096083,1.788678832333032,-0.24936156785148533,5.112561567851463,0.07520685159079385,1.0,1.0
task_02,100,100,51.86559999999999,49.7107,11.904176019660946,9.805226729771334,2.1548999999999907,1.5422447209483097,190.99032562813727,1.3972490686659416,-0.8871200734414018,5.196920073441383,0.16395980638769708,1.0,1.0
task_03,100,100,50.9684,50.236099999999986,10.47517563026265,8.440681778078586,0.7323000000000164,1.3452673093613638,189.43380503745055,0.5443527802274923,-1.9213285170410814,3.385928517041114,0.586838908168816,1.0,1.0
task_04,100,100,51.0353,49.27499999999999,9.777735010179654,9.37869415432682,1.760300000000008,1.354857948161714,197.65723103275184,1.2992505984766907,-0.9115320449133617,4.432132044913377,0.19537137694616447,1.0,1.0
task_05,100,100,51.55569999999999,49.86760000000001,10.055133897013441,11.600370171732113,1.6880999999999773,1.5351687392859483,194.0871014778703,1.0996185349534682,-1.339654932924355,4.71585493292431,0.2728604227735179,1.0,1.0
task_06,100,100,51.982899999999994,50.3987,10.529073102317192,9.986018574977617,1.5841999999999956,1.4511441946744554,197.44735931244506,1.0916902715897157,-1.2775309677205167,4.445930967720508,0.2762995778308238,1.0,1.0
task_07,100,100,49.964100000000016,48.3186,11.903813759048022,10.36791759187539,1.6455000000000126,1.5785895514731503,194.33804828908487,1.04238622285598,-1.4678669274114635,4.758866927411489,0.2985276342170035,1.0,1.0
task_08,100,100,51.381000000000014,49.4886,9.641115709357093,10.851146755020407,1.8924000000000163,1.4515457210167444,195.29516082221176,1.3037136706065813,-0.9703173351649039,4.755117335164936,0.19386591012945864,1.0,1.0
task_09,100,100,51.0449,49.18030000000001,10.825601109584557,9.929501239165331,1.8645999999999887,1.4689745887605554,196.53998815025312,1.269320799873905,-1.0323758946864117,4.7615758946863895,0.20582768695529996,1.0,1.0
task_10,100,100,51.394700000000014,50.6656,10.552242660288673,10.660141500377977,0.7291000000000167,1.4999614727375399,197.97951139682613,0.4860791515327095,-2.2288521226480076,3.687052122648041,0.6274486223117121,1.0,1.0
task_11,100,100,49.16599999999998,49.53809999999999,10.969294057559589,10.466191525115716,-0.3721000000000103,1.5161351429263032,197.56515113371856,-0.2454266703968206,-3.361985467016164,2.6177854670161436,0.8063808364490928,1.0,1.0
task_12,100,100,50.36369999999999,51.315599999999996,10.737230955696146,8.967330190612742,-0.9519000000000091,1.398932233324525,191.90558160748887,-0.680447542292913,-3.711157638877779,1.807357638877761,0.4970412354238879,1.0,1.0
task_13,100,100,52.703100000000006,49.2757,10.417477611585195,10.031108104695154,3.4274000000000058,1.4461914451273716,197.7178533008574,2.3699490213055032,0.5754601684816456,6.2793398315183655,0.018752979489424327,0.3750595897884865,0.3750595897884865
task_14,100,100,50.483799999999995,49.1423,10.229531401138015,10.254487645845007,1.3414999999999964,1.4484399523820675,197.99882442743353,0.9261688741696192,-1.5148490059760626,4.197849005976055,0.3554857286712154,1.0,1.0
task_15,100,100,50.47850000000001,49.49759999999999,10.438436487957924,10.303495446897738,0.9809000000000196,1.466707110289487,197.96648767101462,0.668777012887336,-1.9114750671424274,3.8732750671424667,0.5044168296251487,1.0,1.0
task_16,100,100,51.202000000000005,50.20530000000001,9.83410864945537,9.19891577438572,0.996699999999997,1.3465873323091055,197.12375066553844,0.7401673668583176,-1.6588663415767582,3.6522663415767522,0.4600790866015062,1.0,1.0
task_17,100,100,50.2628,49.538500000000006,10.18999272211554,8.906815841497085,0.7242999999999924,1.3533932174763958,194.51855378062666,0.5351733632525203,-1.944908839060627,3.393508839060612,0.5931412652305639,1.0,1.0
task_18,100,100,52.3167,49.67150000000001,10.36309517109886,10.373332688225421,2.6451999999999884,1.4662870543855273,197.99980696060902,1.8040123808557422,-0.24634371610836903,5.5367437161083455,0.07274923983609184,1.0,1.0
task_19,100,100,50.4763,49.2708,10.519934386917557,8.686925119995225,1.2055000000000007,1.3643008742409224,191.16087683986964,0.8836027468433044,-1.4855171776590592,3.8965171776590606,0.3780205973270368,1.0,1.0
task_20,100,100,51.437900000000006,49.49780000000001,9.843782767910831,10.100865207465842,1.940099999999994,1.4104167367172447,197.86854275708595,1.37555089179925,-0.8412778184961782,4.721477818496166,0.17051590150946128,1.0,1.0
